instance name,target,ema,emaw,emab,emas,wabl,wablm,rawl,rawlm
acram2kx64,26,3'b100,2'b00,3’b000,1'b0,1'b1,3’b000,1'b1,2'b01
aoram1kx36,27,3'b100,2'b00,3’b000,1'b0,1'b1,3'b001,1'b0,2'b00
bioram1kx32,19,3'b100,2'b01,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
dtcm8kx36,6,3'b100,2'b01,3’b000,1'b0,1'b1,3’b000,1'b0,2'b00
ifram32kx36,8,3'b100,2'b00,3’b000,1'b0,1'b1,3'b001,1'b1,2'b11
itcm32kx18,7,3'b100,2'b01,3’b000,1'b0,1'b1,3’b000,1'b0,2'b00
ram32kx72,0,3'b100,2'b00,3’b000,1'b0,1'b1,3’b000,1'b1,2'b01
ram8kx72,1,3'b100,2'b01,3’b000,1'b0,1'b1,3’b000,1'b0,2'b00
rf128x31,5,3'b100,2'b01,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
rf1kx72,2,3'b100,2'b01,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
rf256x27,3,3'b100,2'b01,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
rf512x39,4,3'b100,2'b01,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
sce_aesram_1k,11,3'b100,2'b00,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
sce_aluram_3k,13,3'b100,2'b00,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
sce_hashram_3k,10,3'b100,2'b00,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
sce_pkeram_4k,12,3'b100,2'b00,3’b000,1'b0,1'b1,3’b001,1'b0,2'b00
sce_sceram_10k,9,3'b100,2'b01,3’b000,1'b0,1'b1,3’b000,1'b0,2'b00
fifo32x19,22,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
rdram128x22,17,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
rdram1kx32,15,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
rdram512x64,16,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
rx_fifo128x32,21,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
sce_mimmdpram,14,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
tx_fifo128x32,20,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
udcmem_256x64,25,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
udcmem_odb_1088x64,24,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
udcmem_share_1088x64,23,3'b011,2’b00,3'b100,1'b0,1’b0,3’b000,1'b0,2'b00
